text,cluster
текстовый текст 1,2
текстовый текст 2,2
текстовый текст 3,2
текстовый текст 4,2
текстовый текст 5,2
текстовый текст 6,2
текстовый текст 7,2
текстовый текст 8,2
текстовый текст 9,2
текстовый текст 10,8
текстовый текст 11,1
текстовый текст 12,5
текстовый текст 13,7
текстовый текст 14,0
текстовый текст 15,5
текстовый текст 16,0
текстовый текст 17,5
текстовый текст 18,3
текстовый текст 19,9
текстовый текст 20,8
текстовый текст 21,0
текстовый текст 22,8
текстовый текст 23,0
текстовый текст 24,6
текстовый текст 25,6
текстовый текст 26,3
текстовый текст 27,1
текстовый текст 28,3
текстовый текст 29,7
текстовый текст 30,8
текстовый текст 31,5
текстовый текст 32,0
текстовый текст 33,9
текстовый текст 34,1
текстовый текст 35,1
текстовый текст 36,9
текстовый текст 37,0
текстовый текст 38,0
текстовый текст 39,9
текстовый текст 40,2
текстовый текст 41,7
текстовый текст 42,6
текстовый текст 43,4
текстовый текст 44,1
текстовый текст 45,3
текстовый текст 46,5
текстовый текст 47,7
текстовый текст 48,0
текстовый текст 49,0
текстовый текст 50,8
текстовый текст 51,4
текстовый текст 52,1
текстовый текст 53,7
текстовый текст 54,7
текстовый текст 55,1
текстовый текст 56,0
текстовый текст 57,8
текстовый текст 58,9
текстовый текст 59,7
текстовый текст 60,6
текстовый текст 61,1
текстовый текст 62,9
текстовый текст 63,4
текстовый текст 64,3
текстовый текст 65,7
текстовый текст 66,1
текстовый текст 67,4
текстовый текст 68,9
текстовый текст 69,4
текстовый текст 70,5
текстовый текст 71,4
текстовый текст 72,9
текстовый текст 73,2
текстовый текст 74,4
текстовый текст 75,6
текстовый текст 76,6
текстовый текст 77,3
текстовый текст 78,3
текстовый текст 79,8
текстовый текст 80,7
текстовый текст 81,0
текстовый текст 82,4
текстовый текст 83,4
текстовый текст 84,5
текстовый текст 85,7
текстовый текст 86,1
текстовый текст 87,4
текстовый текст 88,5
текстовый текст 89,9
текстовый текст 90,0
текстовый текст 91,1
текстовый текст 92,6
текстовый текст 93,0
текстовый текст 94,6
текстовый текст 95,4
текстовый текст 96,2
текстовый текст 97,1
текстовый текст 98,3
текстовый текст 99,2
текстовый текст 100,4
текстовый текст 101,1
текстовый текст 102,3
текстовый текст 103,2
текстовый текст 104,2
текстовый текст 105,9
текстовый текст 106,6
текстовый текст 107,1
текстовый текст 108,3
текстовый текст 109,9
текстовый текст 110,5
текстовый текст 111,6
текстовый текст 112,6
текстовый текст 113,5
текстовый текст 114,1
текстовый текст 115,9
текстовый текст 116,2
текстовый текст 117,8
текстовый текст 118,7
текстовый текст 119,3
текстовый текст 120,2
текстовый текст 121,6
текстовый текст 122,3
текстовый текст 123,0
текстовый текст 124,2
текстовый текст 125,4
текстовый текст 126,9
текстовый текст 127,0
текстовый текст 128,7
текстовый текст 129,9
текстовый текст 130,8
текстовый текст 131,6
текстовый текст 132,8
текстовый текст 133,6
текстовый текст 134,2
текстовый текст 135,9
текстовый текст 136,4
текстовый текст 137,1
текстовый текст 138,1
текстовый текст 139,5
текстовый текст 140,6
текстовый текст 141,1
текстовый текст 142,3
текстовый текст 143,0
текстовый текст 144,5
текстовый текст 145,4
текстовый текст 146,2
текстовый текст 147,2
текстовый текст 148,7
текстовый текст 149,6
текстовый текст 150,9
текстовый текст 151,3
текстовый текст 152,4
текстовый текст 153,9
текстовый текст 154,9
текстовый текст 155,3
текстовый текст 156,1
текстовый текст 157,8
текстовый текст 158,1
текстовый текст 159,6
текстовый текст 160,3
текстовый текст 161,2
текстовый текст 162,1
текстовый текст 163,6
текстовый текст 164,4
текстовый текст 165,5
текстовый текст 166,9
текстовый текст 167,1
текстовый текст 168,3
текстовый текст 169,5
текстовый текст 170,4
текстовый текст 171,5
текстовый текст 172,1
текстовый текст 173,2
текстовый текст 174,0
текстовый текст 175,0
текстовый текст 176,7
текстовый текст 177,4
текстовый текст 178,2
текстовый текст 179,3
текстовый текст 180,5
текстовый текст 181,2
текстовый текст 182,3
текстовый текст 183,2
текстовый текст 184,5
текстовый текст 185,5
текстовый текст 186,9
текстовый текст 187,0
текстовый текст 188,4
текстовый текст 189,1
текстовый текст 190,1
текстовый текст 191,2
текстовый текст 192,9
текстовый текст 193,8
текстовый текст 194,8
текстовый текст 195,4
текстовый текст 196,6
текстовый текст 197,1
текстовый текст 198,6
текстовый текст 199,9
текстовый текст 200,0
текстовый текст 201,3
текстовый текст 202,7
текстовый текст 203,8
текстовый текст 204,6
текстовый текст 205,1
текстовый текст 206,0
текстовый текст 207,4
текстовый текст 208,6
текстовый текст 209,8
текстовый текст 210,7
текстовый текст 211,2
текстовый текст 212,1
текстовый текст 213,6
текстовый текст 214,1
текстовый текст 215,3
текстовый текст 216,6
текстовый текст 217,1
текстовый текст 218,2
текстовый текст 219,4
текстовый текст 220,3
текстовый текст 221,4
текстовый текст 222,9
текстовый текст 223,5
текстовый текст 224,4
текстовый текст 225,2
текстовый текст 226,3
текстовый текст 227,4
текстовый текст 228,3
текстовый текст 229,3
текстовый текст 230,4
текстовый текст 231,5
текстовый текст 232,1
текстовый текст 233,3
текстовый текст 234,2
текстовый текст 235,2
текстовый текст 236,9
текстовый текст 237,6
текстовый текст 238,0
текстовый текст 239,4
текстовый текст 240,1
текстовый текст 241,8
текстовый текст 242,8
текстовый текст 243,1
текстовый текст 244,4
текстовый текст 245,0
текстовый текст 246,5
текстовый текст 247,0
текстовый текст 248,9
текстовый текст 249,3
текстовый текст 250,3
текстовый текст 251,8
текстовый текст 252,8
текстовый текст 253,7
текстовый текст 254,0
текстовый текст 255,3
текстовый текст 256,5
текстовый текст 257,3
текстовый текст 258,8
текстовый текст 259,4
текстовый текст 260,2
текстовый текст 261,4
текстовый текст 262,9
текстовый текст 263,5
текстовый текст 264,9
текстовый текст 265,9
текстовый текст 266,7
текстовый текст 267,9
текстовый текст 268,5
текстовый текст 269,3
текстовый текст 270,4
текстовый текст 271,7
текстовый текст 272,4
текстовый текст 273,7
текстовый текст 274,1
текстовый текст 275,6
текстовый текст 276,0
текстовый текст 277,1
текстовый текст 278,2
текстовый текст 279,5
текстовый текст 280,4
текстовый текст 281,1
текстовый текст 282,9
текстовый текст 283,5
текстовый текст 284,8
текстовый текст 285,0
текстовый текст 286,1
текстовый текст 287,8
текстовый текст 288,2
текстовый текст 289,2
текстовый текст 290,8
текстовый текст 291,2
текстовый текст 292,5
текстовый текст 293,0
текстовый текст 294,9
текстовый текст 295,7
текстовый текст 296,2
текстовый текст 297,3
текстовый текст 298,3
текстовый текст 299,1
текстовый текст 300,1
текстовый текст 301,7
текстовый текст 302,2
текстовый текст 303,9
текстовый текст 304,9
текстовый текст 305,5
текстовый текст 306,1
текстовый текст 307,5
текстовый текст 308,4
текстовый текст 309,6
текстовый текст 310,5
текстовый текст 311,9
текстовый текст 312,1
текстовый текст 313,5
текстовый текст 314,8
текстовый текст 315,8
текстовый текст 316,4
текстовый текст 317,0
текстовый текст 318,3
текстовый текст 319,1
текстовый текст 320,4
текстовый текст 321,1
текстовый текст 322,8
текстовый текст 323,7
текстовый текст 324,1
текстовый текст 325,6
текстовый текст 326,6
текстовый текст 327,4
текстовый текст 328,3
текстовый текст 329,3
текстовый текст 330,6
текстовый текст 331,8
текстовый текст 332,7
текстовый текст 333,9
текстовый текст 334,0
текстовый текст 335,9
текстовый текст 336,6
текстовый текст 337,2
текстовый текст 338,6
текстовый текст 339,3
текстовый текст 340,2
текстовый текст 341,9
текстовый текст 342,8
текстовый текст 343,6
текстовый текст 344,6
текстовый текст 345,6
текстовый текст 346,5
текстовый текст 347,2
текстовый текст 348,2
текстовый текст 349,2
текстовый текст 350,4
текстовый текст 351,9
текстовый текст 352,0
текстовый текст 353,1
текстовый текст 354,8
текстовый текст 355,9
текстовый текст 356,5
текстовый текст 357,6
текстовый текст 358,5
текстовый текст 359,4
текстовый текст 360,5
текстовый текст 361,1
текстовый текст 362,4
текстовый текст 363,4
текстовый текст 364,7
текстовый текст 365,7
текстовый текст 366,4
текстовый текст 367,2
текстовый текст 368,7
текстовый текст 369,6
текстовый текст 370,7
текстовый текст 371,7
текстовый текст 372,1
текстовый текст 373,5
текстовый текст 374,0
текстовый текст 375,8
текстовый текст 376,9
текстовый текст 377,2
текстовый текст 378,9
текстовый текст 379,8
текстовый текст 380,0
текстовый текст 381,7
текстовый текст 382,3
текстовый текст 383,0
текстовый текст 384,7
текстовый текст 385,8
текстовый текст 386,0
текстовый текст 387,7
текстовый текст 388,5
текстовый текст 389,4
текстовый текст 390,5
текстовый текст 391,2
текстовый текст 392,8
текстовый текст 393,1
текстовый текст 394,2
текстовый текст 395,6
текстовый текст 396,0
текстовый текст 397,7
текстовый текст 398,9
текстовый текст 399,8
текстовый текст 400,6
текстовый текст 401,4
текстовый текст 402,3
текстовый текст 403,7
текстовый текст 404,7
текстовый текст 405,4
текстовый текст 406,8
текстовый текст 407,0
текстовый текст 408,8
текстовый текст 409,9
текстовый текст 410,0
текстовый текст 411,0
текстовый текст 412,8
текстовый текст 413,6
текстовый текст 414,0
